tag,model,seed,status,wall_clock_min,metrics_mse,metrics_mae,metrics_mspe,pred_sha256,true_sha256,dir,ingested_orphan
AAPL,DeReFusion,2021,ok,,0.0843646675,0.2230605185,0.0120858159,cda7693d8edbf88037f2c645ed8f73b408657d87247ebbd5ccdd5b35adb1c102,3b60605d2537bf983f5063d7447ed9d8698ee548185f47bf64ddfe8d11154070,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\AAPL_DeReFusion,1
AAPL,revin-DLinear,2021,ok,,0.0834380910,0.2241885811,0.0115922866,a6cb22ae31eb0e6d2415f2ef1552de5aaa749130ee1124429cecd2bcbab65b55,3b60605d2537bf983f5063d7447ed9d8698ee548185f47bf64ddfe8d11154070,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\AAPL_revin-DLinear,1
MSFT,DeReFusion,2021,stall,23.16,,,,,,,0
MSFT,revin-DLinear,2021,stall,17.11,,,,,,,0
AMZN,DeReFusion,2021,stall,29.23,,,,,,,0
AMZN,revin-DLinear,2021,stall,33.21,,,,,,,0
META,DeReFusion,2021,ok,36.18,0.6665984392,0.6334995031,0.0235519670,8faf8f2f78ea4b9cef7ec30453c5d3265f55da1d6b6d505d454a447fe3e3bb49,d8d002e54a03f161d4413c8421d77b45534a4ad7653418c15ce32db8714e06cc,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\META_DeReFusion,0
META,revin-DLinear,2021,stall,27.15,,,,,,,0
TSLA,DeReFusion,2021,ok,43.21,0.1609070152,0.3038788438,0.0718852431,15b94cd030124f4d8f9a5dbb8939f84576004edf66abec4ca9a99fb70530675a,e365bc688c5003b6624817a2eb49df81b50c6b448a284f5bfb9bc6fd72bf4375,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\TSLA_DeReFusion,0
TSLA,revin-DLinear,2021,stall,23.12,,,,,,,0
JPM,DeReFusion,2021,ok,58.31,0.2364693284,0.3619806170,0.0111635206,0a8dad1dd456208046f1f76a694415fb286c6430e526a0369f30296375ac03ee,008587e64376d471c6d7f19f6839ad1bfa8faf4207908a7a889fdfb8b51b0dba,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\JPM_DeReFusion,0
JPM,revin-DLinear,2021,stall,15.12,,,,,,,0
XOM,DeReFusion,2021,stall,47.42,,,,,,,0
XOM,revin-DLinear,2021,stall,15.1,,,,,,,0
WMT,DeReFusion,2021,ok,34.21,0.2867483795,0.4079119265,0.0116060171,7efbe58b71b09912d28cdcf97a930727bdaffc4e51393a86e7716757c3ccd11e,d61698c4ff5229ecb9f5b6f0298ae0f72dc2daca1d7ba8ebe99e3e2aa9450cb1,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\WMT_DeReFusion,0
WMT,revin-DLinear,2021,stall,23.14,,,,,,,0
N225,DeReFusion,2021,ok,29.15,0.2908276618,0.4150177240,0.0203075148,b6bd63e2fc505f2507336eb321a3a84d0b4f063f49c383f2894d256e63e1270b,f092b2e1cb30b153e9ff11d86dddf360dfae9808c80b5b5ca8525a9423492953,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\N225_DeReFusion,0
N225,revin-DLinear,2021,stall,13.08,,,,,,,0
GDAXI,DeReFusion,2021,ok,50.26,0.2154393494,0.3331322670,0.0086530019,05ef60b2d26f91c843aa5f9c1fd12046296aecac4da4247bea196b07583b9086,0529060d5a5fdc5cac88ee575ae18bac0a26ac3d03677b3129d0dbaacbea6a1a,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\GDAXI_DeReFusion,0
GDAXI,revin-DLinear,2021,stall,13.08,,,,,,,0
AAPL,DeReFusion,2022,ok,54.28,0.0823264942,0.2215420902,0.0117473798,70c95e6b5bcbbf31883f597687c73cc355975516dfbc76dbb0972e3dc19684dd,3b60605d2537bf983f5063d7447ed9d8698ee548185f47bf64ddfe8d11154070,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2022\AAPL_DeReFusion,0
AAPL,revin-DLinear,2022,stall,14.08,,,,,,,0
MSFT,DeReFusion,2022,ok,53.27,0.0878865048,0.2285162210,0.0080287457,ab2f2df82eeef643a9c6e747d3d4124070852b7297fac244668f1adac2699c11,3d165382d672bfbe1a47f49e3dc52e1663a8119aa22281a2f53ba9c0d34882bc,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2022\MSFT_DeReFusion,0
MSFT,revin-DLinear,2022,stall,25.14,,,,,,,0
AMZN,DeReFusion,2022,ok,44.22,0.0870704949,0.2243241221,0.0201313086,151142fe9fb774b61f5cd5c084849eacda36ae485306f764c8b5de1a9019b19b,34455312abb45725ea25d01625df31e473c955653ee1090c87e7d6a6ecab8e12,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2022\AMZN_DeReFusion,0
MSFT,DeReFusion,2021,ok,52.18,0.0899612233,0.2315423191,0.0082254987,3cda6752eb810e98392360b69db7a3b9dbe1a83110013f1ca485e2cde2039706,3d165382d672bfbe1a47f49e3dc52e1663a8119aa22281a2f53ba9c0d34882bc,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\MSFT_DeReFusion,0
MSFT,revin-DLinear,2021,stall,25.09,,,,,,,0
AMZN,DeReFusion,2021,ok,40.14,0.0862515196,0.2238739729,0.0199377183,a2df4efd111f29de836c6c5f3473c83da84d92305c1ed76db02fb383703b1324,34455312abb45725ea25d01625df31e473c955653ee1090c87e7d6a6ecab8e12,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\AMZN_DeReFusion,0
AMZN,revin-DLinear,2021,stall,42.15,,,,,,,0
META,revin-DLinear,2021,stall,30.11,,,,,,,0
TSLA,revin-DLinear,2021,stall,17.06,,,,,,,0
JPM,revin-DLinear,2021,stall,17.06,,,,,,,0
XOM,DeReFusion,2021,ok,42.15,0.0989040732,0.2407534868,0.0200176910,d34b03c83bea0d3dc6fef7d0e38e3ca4b9fd97bc369b1aa0885ee54a82bf70d8,c8484713d4d6d318c36d18fce6a8331a89289502865651f67dba5b0aadd62108,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\XOM_DeReFusion,0
XOM,revin-DLinear,2021,stall,15.06,,,,,,,0
